Provincia;Localidad;Denominación genérica;Denominación específica;Código;Naturaleza;Domicilio;C. Postal;Teléfono
Madrid;Madrid;Instituto de Educación Secundaria;VISTA ALEGRE;28021008;Centro público;CALLE del General Ricardos 177;28025;914628600
Madrid;Majadahonda;Instituto de Educación Secundaria;MARIA DE ZAYAS Y SOTOMAYOR;28039128;Centro público;CALLE del Romero 2;28221;916396611
Madrid;Moralzarzal;Instituto de Educación Secundaria;CARMEN MARTÍN GAITE;28022207;Centro público;AVDA del Marqués de Santillana 14;28411;918578517
Madrid;Móstoles;Centro Público de Educación de Personas Adultas;AGUSTINA DE ARAGON;28030204;Centro público;CALLE Camino de Humanes 63;28936;916852466
Madrid;Móstoles;Instituto de Educación Secundaria;ANTONIO DE NEBRIJA;28042671;Centro público;AVDA de la O.N.U. 81;28936;916466443
Madrid;Móstoles;Instituto de Educación Secundaria;BENJAMIN RUA;28040003;Centro público;CALLE Tulipán 1;28933;916645070
Madrid;Móstoles;Instituto de Educación Secundaria;EL CAÑAVERAL;28074852;Centro público;AVDA de la O.N.U. 81;28936;916480138
Madrid;Navalcarnero;Instituto de Educación Secundaria;PROFESOR ANGEL YSERN;28041470;Centro público;PASEO de la Estación s/n;28600;918101230
Madrid;Parla;Centro Público de Educación de Personas Adultas;RAMON Y CAJAL;28045426;Centro público;CALLE Galilea 11;28981;916986430
Madrid;Parla;Instituto de Educación Secundaria;ENRIQUE TIERNO GALVAN;28032559;Centro público;AVDA Juan Carlos I 12;28981;916981111
Madrid;Parla;Instituto de Educación Secundaria;NARCIS MONTURIOL;28038446;Centro público;CALLE Leganés 38;28981;916982811
Madrid;Pozuelo de Alarcón;Centro Privado de Educación Primaria y Secundaria;RETAMAR;28023819;Centro privado;CALLE Pajares 22;28223;917141022
Madrid;Pozuelo de Alarcón;Centro Privado de Formación Profesional Específica;CENTRO DE ESTUDIOS TECNOLOGICOS Y SOCIALES FRANCISCO DE VITORIA;28058305;Centro privado;CTRA Pozuelo Majadahonda k1,8;28223;917091413
Madrid;Pozuelo de Alarcón;Centro Público de Educación de Personas Adultas;POZUELO DE ALARCON;28057684;Centro público;CALLE Juan XXIII 1;28224;913512267
Madrid;Pozuelo de Alarcón;Instituto de Educación Secundaria;SAN JUAN DE LA CRUZ;28040775;Centro público;CALLE San Juan de la Cruz s/n;28223;913525380
Madrid;Rivas-Vaciamadrid;Centro Privado de Educación Infantil Primaria y Secundaria;CIUDAD EDUCATIVA MUNICIPAL HIPATIA-FUHEM;28072211;Centro privado;AVDA Ocho de Marzo 1;28523;917139700
Madrid;Rivas-Vaciamadrid;Instituto de Educación Secundaria;EUROPA;28046522;Centro público;AVDA Cerro del Telégrafo 2;28522;916702756
Madrid;Rozas de Puerto Real;Centro Privado de Educación Primaria y Secundaria;SEMINARIO ARZOBISPAL LA INMACULADA Y SAN DAMASO;28029445;Centro privado;CTRA Alcorcon-plasencia k. 67;28649;918610200
Madrid;San Fernando de Henares;Instituto de Educación Secundaria;REY FERNANDO VI;28037065;Centro público;AVDA de Irún s/n;28830;916730241
Madrid;San Fernando de Henares;Instituto de Educación Secundaria;VEGA DEL JARAMA;28024290;Centro público;AVDA de Irún 18;28830;916711104
Madrid;San Martín de la Vega;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO VEGASUR;28073070;Centro privado;CALLE de Fernando el Católico 8;28330;918087976
Madrid;Torrejón de Ardoz;Centro Privado de Formación Profesional Específica;CENTRO DE ESTUDIOS PROFESIONALES CAMINO REAL;28076873;Centro privado;AVDA Constitución 190;28850;916751535
Madrid;Torrejón de Ardoz;Instituto de Educación Secundaria;ISAAC PERAL;28025014;Centro público;CALLE Plata 78;28850;916756936
Madrid;Torrejón de Ardoz;Instituto de Educación Secundaria;VALLE INCLAN;28042681;Centro público;CALLE Juncal 14;28850;916773057
Madrid;Torrelaguna;Instituto de Educación Secundaria;ALTO JARAMA;28025129;Centro público;CALLE Caja Ahorros y Monte de Piedad 13;28180;918485654
Madrid;Tres Cantos;Instituto de Educación Secundaria;JOSE LUIS SAMPEDRO;28035317;Centro público;AVDA de la Vega s/n;28760;918031142
Madrid;Valdemorillo;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO JARA;28074232;Centro privado;CTRA Robledo de Chavela s/n;28210;918991678
Madrid;Valdemoro;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO VALLE DEL MIRO;28067847;Centro privado;CALLE de Clara Campoamor 2;28342;918658070
Madrid;Valdemoro;Centro Privado de Formación Profesional Específica;CESUR OPEN HELICON;28078377;Centro privado;CALLE Marie Curie 19;28000;952122500
Madrid;Villanueva de la Cañada;Centro Privado de Formación Profesional Específica;CENTRO DE F.P. ALFONSO X EL SABIO;28076356;Centro privado;AVDA Universidad 1;28691;918109200
Madrid;Villanueva de la Cañada;Instituto de Educación Secundaria;LAS ENCINAS;28046303;Centro público;AVDA Mirasierra 8;28691;918157473
Madrid;Villaviciosa de Odón;Centro Privado de Formación Profesional Específica;CENTRO PROFESIONAL EUROPEO DE MADRID - ESTUDIOS PROFESIONALES SUPERIORES;28072661;Centro privado;CALLE Tajo s/n;28670;912115052
Madrid;Villaviciosa de Odón;Instituto de Educación Secundaria;CALATALIFA;28041512;Centro público;CALLE San Antonio 2;28670;916169295
